mtf,mode,window,start,end,final_from_5000,total_return_pct,cagr_pct,max_dd_pct,sharpe,trades,wins,win_rate_pct,profit_factor
intended,intended_python,claim_release,2019-12-31 01:00:00,2026-04-17 23:00:00,25946.30501292397,418.9261002584794,29.886390379839355,-85.62959892361523,0.7230659490454846,172,48,27.906976744186046,1.4755400042942297
intended,intended_python,public_forward,2026-04-18 00:00:00,2026-07-31 23:00:00,6427.09303342439,28.541860668487807,139.5863984578586,-20.566437411321026,1.6822831374611749,6,1,16.666666666666668,0.22318989998430555
intended,intended_python,2022_release,2022-01-01 00:00:00,2026-04-17 23:00:00,10107.55510428143,102.1511020856286,17.81609919717426,-77.9185926418448,0.5733009190379151,134,42,31.34328358208955,1.4816620661174107
intended,intended_python,2024_release,2024-01-01 00:00:00,2026-04-17 23:00:00,25741.773751313092,414.83547502626186,104.266098339636,-44.59102544561443,1.4001932192801179,59,21,35.59322033898305,2.4232140351378453
intended,pine_declared,claim_release,2019-12-31 01:00:00,2026-04-17 23:00:00,35834.625626144494,616.69251252289,36.72020802615512,-78.46294412688832,0.8304097850546941,169,58,34.319526627218934,1.5726628009067043
intended,pine_declared,public_forward,2026-04-18 00:00:00,2026-07-31 23:00:00,6206.772382600913,24.13544765201827,112.20042661056793,-16.117574992486826,1.7725778590180272,6,2,33.333333333333336,0.4488063659121691
intended,pine_declared,2022_release,2022-01-01 00:00:00,2026-04-17 23:00:00,8659.028827840626,73.18057655681254,13.646573732834621,-69.04877813956614,0.5055598080940837,132,49,37.121212121212125,1.4114814848967994
intended,pine_declared,2024_release,2024-01-01 00:00:00,2026-04-17 23:00:00,19899.12442453945,297.98248849078897,82.58447703758291,-40.81458186489658,1.3565768090700459,64,27,42.1875,2.319073307612349
extra_lag,intended_python,claim_release,2019-12-31 01:00:00,2026-04-17 23:00:00,15941.631569350808,218.83263138701614,20.217920569391957,-92.50551349920494,0.6232755554214537,139,30,21.58273381294964,1.1863025245768568
extra_lag,intended_python,public_forward,2026-04-18 00:00:00,2026-07-31 23:00:00,4474.678409219285,-10.506431815614315,-32.04189044164056,-19.628918125264327,-1.4373346515893815,8,2,25.0,0.3949810342897489
extra_lag,intended_python,2022_release,2022-01-01 00:00:00,2026-04-17 23:00:00,7960.2400731080925,59.204801462161846,11.4407336896744,-78.21635326608758,0.47339210652904323,108,25,23.14814814814815,0.9819358990301047
extra_lag,intended_python,2024_release,2024-01-01 00:00:00,2026-04-17 23:00:00,28066.536578657182,461.3307315731436,112.11112067364084,-44.842898883546624,1.463973793512225,53,17,32.075471698113205,2.0020267327392287
extra_lag,pine_declared,claim_release,2019-12-31 01:00:00,2026-04-17 23:00:00,30561.978330383045,511.23956660766095,33.30786040660523,-82.24357719546272,0.7856031755843849,141,44,31.20567375886525,1.4370618235148878
extra_lag,pine_declared,public_forward,2026-04-18 00:00:00,2026-07-31 23:00:00,4286.738164746216,-14.265236705075669,-41.46789303005377,-22.068589274114924,-2.009805481015488,8,2,25.0,0.30043931566309623
extra_lag,pine_declared,2022_release,2022-01-01 00:00:00,2026-04-17 23:00:00,9050.309093581536,81.00618187163073,14.82262680246067,-64.79413056369924,0.5289860997586993,112,36,32.142857142857146,1.1479920691873076
extra_lag,pine_declared,2024_release,2024-01-01 00:00:00,2026-04-17 23:00:00,20123.6617081735,302.47323416346995,83.47963746780316,-36.86777033979085,1.3773157371128755,53,21,39.62264150943396,2.0310588858733434
