mode,end,final,return_pct,trades,wins,win_pct,profit_factor,max_dd_close_pct,score,target_final,final_ratio_to_claim
next_open,2025-01-09 00:00:00+00:00,32192679733.403294,321926697.33403295,27,24,88.88888888888889,7.797655356019962,-70.26637554585152,0.39532476924517707,32635786575.000004,0.9864226700778788
same_close,2025-01-01 00:00:00+00:00,32682410703.30092,326824007.0330092,27,24,88.88888888888889,7.929954960659178,-70.26637554585153,0.3963119851692082,32635786575.000004,1.001428619720679
same_close,2025-01-12 00:00:00+00:00,32720152606.57951,327201426.06579506,27,24,88.88888888888889,7.937957729250892,-70.26637554585153,0.3982664035652869,32635786575.000004,1.002585077316449
same_close,2025-01-13 00:00:00+00:00,32722922654.52656,327229126.5452656,27,24,88.88888888888889,7.938545088413586,-70.26637554585153,0.398409794670441,32635786575.000004,1.002669954938157
same_close,2025-01-11 00:00:00+00:00,32744736782.109604,327447267.821096,27,24,88.88888888888889,7.943170541819807,-70.26637554585153,0.39953874930621913,32635786575.000004,1.0033383662091067
same_close,2025-01-09 00:00:00+00:00,32043222139.518517,320432121.3951852,27,24,88.88888888888889,7.794421833867391,-70.26637554585153,0.3996548229672698,32635786575.000004,0.9818431085115806
next_open,2025-01-01 00:00:00+00:00,32834849632.34499,328348396.3234499,27,24,88.88888888888889,7.933252983963395,-70.26637554585152,0.40129519343697956,32635786575.000004,1.0060995330045905
same_close,2025-01-10 00:00:00+00:00,32791135085.222736,327911250.85222733,27,24,88.88888888888889,7.953008807794942,-70.26637554585153,0.4019385427488613,32635786575.000004,1.004760066372714
next_open,2025-01-12 00:00:00+00:00,32872767573.290085,328727575.73290086,27,24,88.88888888888889,7.941259561127985,-70.26637554585152,0.403249992690346,32635786575.000004,1.007261384607522
next_open,2025-01-13 00:00:00+00:00,32875550541.432842,328755405.41432846,27,24,88.88888888888889,7.941847199818964,-70.26637554585152,0.40339341174832843,32635786575.000004,1.0073466581196637
next_open,2025-01-11 00:00:00+00:00,32897466415.55707,328974564.1555707,27,24,88.88888888888889,7.9464748545104245,-70.26637554585152,0.40452258651263073,32635786575.000004,1.0080181870277802
next_open,2025-01-10 00:00:00+00:00,32944081131.948288,329440711.31948286,27,24,88.88888888888889,7.956317802584324,-70.26637554585152,0.40692284816514923,32635786575.000004,1.0094465183561547
same_close,2025-01-08 00:00:00+00:00,32916826010.82025,329168160.1082025,27,24,88.88888888888889,7.979660229802212,-70.26637554585153,0.40842943381793334,32635786575.000004,1.0086113884577101
next_open,2025-01-08 00:00:00+00:00,33070358311.42599,330703483.1142599,27,24,88.88888888888889,7.982981908187503,-70.26637554585152,0.4134150075938122,32635786575.000004,1.0133158039695873
month_open,2025-01-09 00:00:00+00:00,33771230107.060314,337712201.07060313,27,24,88.88888888888889,7.5277310854015385,-70.26637554585153,0.41931560612597835,32635786575.000004,1.0347913640583155
month_open,2025-01-01 00:00:00+00:00,34444888454.37973,344448784.54379725,27,24,88.88888888888889,7.657944341564522,-70.26637554585153,0.4260456314157233,32635786575.000004,1.0554330711540305
month_open,2025-01-12 00:00:00+00:00,34484665680.73824,344846556.80738246,27,24,88.88888888888889,7.6656329899511775,-70.26637554585153,0.42643090811396517,32635786575.000004,1.0566518935123363
month_open,2025-01-13 00:00:00+00:00,34487585110.19575,344875751.1019575,27,24,88.88888888888889,7.666197294419923,-70.26637554585153,0.42645913285597525,32635786575.000004,1.0567413483643222
month_open,2025-01-11 00:00:00+00:00,34510575617.17361,345105656.17173606,27,24,88.88888888888889,7.670641192111293,-70.26637554585153,0.42668115238199444,32635786575.000004,1.0574458053237101
month_open,2025-01-10 00:00:00+00:00,34559476060.58682,345594660.6058682,27,24,88.88888888888889,7.680093291962776,-70.26637554585153,0.4271705676345299,32635786575.000004,1.0589441740944716
month_open,2025-01-08 00:00:00+00:00,34691945172.22114,346919351.72221136,27,24,88.88888888888889,7.705698607232096,-70.26637554585153,0.4335568480298067,32635786575.000004,1.0630031880033255
same_close,2025-01-14 00:00:00+00:00,33421667249.1706,334216572.491706,27,24,88.88888888888889,8.08670643720331,-70.26637554585153,0.4343545083114112,32635786575.000004,1.0240803350139753
next_open,2025-01-14 00:00:00+00:00,33577554255.443863,335775442.55443865,27,24,88.88888888888889,8.090079059618446,-70.26637554585152,0.4393451764902746,32635786575.000004,1.0288569015574236
same_close,2025-01-02 00:00:00+00:00,33554629550.629128,335546195.5062913,27,24,88.88888888888889,8.114899677012652,-70.26637554585153,0.4411442660870916,32635786575.000004,1.0281544608559545
same_close,2025-01-07 00:00:00+00:00,33568133534.37101,335681235.3437101,27,24,88.88888888888889,8.117763052930789,-70.26637554585153,0.44183297042614345,32635786575.000004,1.0285682392617805
next_open,2025-01-02 00:00:00+00:00,33711136726.296307,337111267.26296306,27,24,88.88888888888889,8.118285716785445,-70.26637554585152,0.4461362760017208,32635786575.000004,1.0329500301402281
next_open,2025-01-07 00:00:00+00:00,33724703695.99226,337246936.9599226,27,24,88.88888888888889,8.121150455403969,-70.26637554585152,0.44682511661081126,32635786575.000004,1.0333657385119193
month_open,2025-01-14 00:00:00+00:00,35224011190.85153,352240011.90851533,27,24,88.88888888888889,7.808543096660931,-70.26637554585153,0.45906175072605837,32635786575.000004,1.079306334777731
same_close,2025-01-03 00:00:00+00:00,33979139398.51495,339791293.9851495,27,24,88.88888888888889,8.204912468695603,-70.26637554585153,0.4627174909874351,32635786575.000004,1.0411619563826904
same_close,2025-01-04 00:00:00+00:00,34005454854.011948,340054448.54011947,27,24,88.88888888888889,8.210492380741202,-70.26637554585153,0.4640496416056274,32635786575.000004,1.0419682937889154
month_open,2025-01-02 00:00:00+00:00,35364143804.811806,353641338.04811805,27,24,88.88888888888889,7.835629711160708,-70.26637554585153,0.46574084597078264,32635786575.000004,1.0836001676730478
same_close,2025-01-05 00:00:00+00:00,34046313061.230976,340463030.61230975,27,24,88.88888888888889,8.219155928390949,-70.26637554585153,0.4661167943331011,32635786575.000004,1.0432202387091072
month_open,2025-01-07 00:00:00+00:00,35378376023.417145,353783660.23417145,27,24,88.88888888888889,7.838380695445841,-70.26637554585153,0.466418311146534,32635786575.000004,1.0840362600764784
next_open,2025-01-03 00:00:00+00:00,34137626594.174164,341376165.94174165,27,24,88.88888888888889,8.208341346177995,-70.26637554585152,0.46771378467302416,32635786575.000004,1.0460181958759533
next_open,2025-01-04 00:00:00+00:00,34164064791.530376,341640547.91530377,27,24,88.88888888888889,8.213923913742297,-70.26637554585152,0.46904620084308674,32635786575.000004,1.0468282942413
next_open,2025-01-05 00:00:00+00:00,34205113571.636074,342051035.71636075,27,24,88.88888888888889,8.22259158443424,-70.26637554585152,0.4711137658747799,32635786575.000004,1.0480860785453912
month_open,2025-01-03 00:00:00+00:00,35811546369.17454,358115363.6917454,27,24,88.88888888888889,7.92210937099593,-70.26637554585153,0.48696075768635305,32635786575.000004,1.097309123739866
month_open,2025-01-04 00:00:00+00:00,35839280949.020836,358392709.4902084,27,24,88.88888888888889,7.927470263449009,-70.26637554585153,0.4882710063452932,32635786575.000004,1.0981589448337306
month_open,2025-01-05 00:00:00+00:00,35882342533.51904,358823325.3351904,27,24,88.88888888888889,7.935793754363003,-70.26637554585153,0.4903041533991915,32635786575.000004,1.0994784039005205
same_close,2025-01-16 00:00:00+00:00,34616942938.32383,346169329.3832383,27,24,88.88888888888889,8.340151915906045,-70.26637554585153,0.4948378889996494,32635786575.000004,1.060705028780935
next_open,2025-01-16 00:00:00+00:00,34778405009.04448,347783950.0904448,27,24,88.88888888888889,8.343645154775938,-70.26637554585152,0.4998406188239883,32635786575.000004,1.0656524220465942
same_close,2025-01-15 00:00:00+00:00,34802882406.76974,348028724.0676974,27,24,88.88888888888889,8.379578399701922,-70.26637554585153,0.5041375060025909,32635786575.000004,1.0664024391380778
next_open,2025-01-15 00:00:00+00:00,34965211745.6272,349652017.45627195,27,24,88.88888888888889,8.383090401907912,-70.26637554585152,0.50914211216054,32635786575.000004,1.0713764065491103
same_close,2025-01-19 00:00:00+00:00,35053918001.97138,350539080.0197138,27,24,88.88888888888889,8.432807823821124,-70.26637554585153,0.5166476277398437,32635786575.000004,1.0740944736053564
same_close,2025-01-28 00:00:00+00:00,35072962081.60737,350729520.8160737,27,24,88.88888888888889,8.436845918064648,-70.26637554585153,0.5175945692722106,32635786575.000004,1.074678007254598
month_open,2025-01-16 00:00:00+00:00,36483745001.7652,364837350.017652,27,24,88.88888888888889,8.05204047492454,-70.26637554585153,0.5185503213703841,32635786575.000004,1.117906103409588
