label,pre_days,post_days,mode,fee,final,return_pct,cagr_pct,trades,wins,win_pct,profit_factor,max_dd_close_pct,start,end,claim_ratio
public_500_500,500,500,same_open,zero,808838781.2038224,8088287.812038224,117.81673494186845,4,4,100.0,inf,-85.40696763906092,2010-07-27,2025-01-31,0.06371490593631253
public_500_500,500,500,same_open,15bps_side,799190712.7804909,7991807.127804909,117.63675052478823,4,4,100.0,inf,-85.40696763906092,2010-07-27,2025-01-31,0.06295489567673428
public_500_500,500,500,same_open,50bps_side,777123499.9123738,7771134.999123738,117.21736050130627,4,4,100.0,inf,-85.40696763906091,2010-07-27,2025-01-31,0.061216588334353825
public_500_500,500,500,same_close,zero,758228338.9970106,7582183.389970106,116.84934800520185,4,4,100.0,inf,-85.40696763906092,2010-07-27,2025-01-31,0.05972815401548741
public_500_500,500,500,same_close,15bps_side,749183966.9105678,7491739.669105679,116.67016295082408,4,4,100.0,inf,-85.40696763906092,2010-07-27,2025-01-31,0.05901569891302181
public_500_500,500,500,same_close,50bps_side,728497537.7381399,7284875.377381398,116.25263555938551,4,4,100.0,inf,-85.40696763906091,2010-07-27,2025-01-31,0.05738616046913345
public_500_500,500,500,next_open,zero,742490937.1354389,7424809.371354389,116.53626067894137,4,4,100.0,inf,-85.40696763906092,2010-07-27,2025-01-31,0.05848846682121165
public_500_500,500,500,next_open,15bps_side,733634285.4371555,7336242.854371555,116.35733433214148,4,4,100.0,inf,-85.40696763906094,2010-07-27,2025-01-31,0.057790799074584884
public_500_500,500,500,next_open,50bps_side,713377213.2700305,7133672.1327003045,115.9404097672082,4,4,100.0,inf,-85.40696763906091,2010-07-27,2025-01-31,0.056195082502052955
pantera_like_400_480,400,480,same_open,zero,2415593072.122795,24155830.72122795,134.86810309191415,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.19028425558631556
pantera_like_400_480,400,480,same_open,15bps_side,2386779162.8687406,23867691.628687408,134.67402893761644,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.18801448865569542
pantera_like_400_480,400,480,same_open,50bps_side,2320875539.3481855,23208655.393481854,134.22180776509188,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.18282304226235516
pantera_like_400_480,400,480,same_close,zero,2397257350.6984982,23972473.506984983,134.74485523276041,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.18883989016644198
pantera_like_400_480,400,480,same_close,15bps_side,2368662155.3575296,23686521.553575296,134.55088291955443,4,4,100.0,inf,-71.03056768558952,2010-07-27,2025-01-31,0.18658735205412663
