mode,end,final,return_pct,trades,wins,win_pct,profit_factor,claim_ratio,abs_pct_gap
same_close,2025-01-18,12690056034.690876,126900460.34690875,4,4,100.0,inf,0.9996376847478532,0.03623152521468054
same_open,2025-01-20,12690049755.278433,126900397.55278432,4,4,100.0,inf,0.9996371900977666,0.03628099022333631
next_open,2025-01-11,12687145375.158508,126871353.75158507,4,4,100.0,inf,0.9994084024698182,0.05915975301817866
next_open,2025-01-10,12705122676.99709,127051126.7699709,4,4,100.0,inf,1.0008245339934936,0.08245339934935814
same_open,2025-01-27,12683713489.356627,126837034.89356625,4,4,100.0,inf,0.9991380614746379,0.08619385253620937
same_open,2025-01-06,12707319185.92806,127073091.8592806,4,4,100.0,inf,1.0009975602666858,0.09975602666858485
next_open,2025-01-13,12678693360.114994,126786833.60114995,4,4,100.0,inf,0.9987426092907766,0.12573907092233716
next_open,2025-01-12,12677620088.363438,126776100.88363436,4,4,100.0,inf,0.9986580641251841,0.13419358748159027
same_open,2025-01-31,12723718933.019794,127237089.33019795,4,4,100.0,inf,1.0022894225853718,0.2289422585371792
next_open,2025-01-01,12662996760.748466,126629867.60748467,4,4,100.0,inf,0.9975061362439851,0.24938637560149024
same_close,2025-01-25,12726752163.635653,127267421.63635653,4,4,100.0,inf,1.002528360193043,0.2528360193043033
same_close,2025-01-30,12726752163.635653,127267421.63635653,4,4,100.0,inf,1.002528360193043,0.2528360193043033
same_close,2025-01-17,12651537250.334936,126515272.50334936,4,4,100.0,inf,0.9966034327077036,0.33965672922964263
same_close,2025-01-24,12740968875.842735,127409588.75842735,4,4,100.0,inf,1.0036482576337293,0.3648257633729335
next_open,2025-03-02,12647568479.319832,126475584.79319832,4,4,100.0,inf,0.9962907994885919,0.3709200511408106
same_open,2025-01-26,12743721654.851377,127437116.54851379,4,4,100.0,inf,1.0038651031407388,0.3865103140738846
next_open,2025-01-08,12753822382.724003,127538123.82724003,4,4,100.0,inf,1.0046607708822568,0.4660770882256804
same_close,2025-01-23,12628936323.236498,126289263.23236497,4,4,100.0,inf,0.9948230829302025,0.5176917069797504
same_close,2025-01-29,12606335396.13806,126063253.9613806,4,4,100.0,inf,0.9930427331527015,0.6957266847298471
same_open,2025-02-03,12605069247.621267,126050592.47621268,4,4,100.0,inf,0.9929429944463937,0.7057005553606333
same_close,2025-01-22,12592361704.652466,125923517.04652466,4,4,100.0,inf,0.99194197925801,0.8058020741990024
same_open,2025-01-28,12584569563.756601,125845595.63756602,4,4,100.0,inf,0.9913281665480363,0.8671833451963651
same_open,2025-01-19,12577736335.801712,125777263.35801713,4,4,100.0,inf,0.9907898905819171,0.9210109418082868
next_open,2025-02-18,12827207338.736732,128271973.38736732,4,4,100.0,inf,1.0104415465796492,1.0441546579649241
next_open,2025-02-11,12846257912.326874,128462479.12326874,4,4,100.0,inf,1.0119422232689173,1.1942223268917251
next_open,2025-02-17,12848672773.767876,128486627.73767875,4,4,100.0,inf,1.0121324498915005,1.213244989150053
same_open,2025-01-22,12875292353.110058,128752823.53110057,4,4,100.0,inf,1.0142293621974696,1.422936219746962
same_open,2025-02-01,12503316271.347557,125033062.71347557,4,4,100.0,inf,0.984927575969092,1.5072424030908027
same_open,2025-01-29,12889580011.56119,128895700.1156119,4,4,100.0,inf,1.015354848308446,1.5354848308446023
next_open,2025-02-21,12896835843.619007,128968258.43619008,4,4,100.0,inf,1.015926414197467,1.5926414197467098
next_open,2025-02-16,12896970002.587952,128969600.02587952,4,4,100.0,inf,1.015936982343166,1.5936982343166095
same_close,2025-01-21,12898203282.64585,128981932.8264585,4,4,100.0,inf,1.016034131892258,1.6034131892258108
same_open,2025-01-15,12487661967.305449,124876519.67305449,4,4,100.0,inf,0.9836944346648918,1.6305565335108185
same_open,2025-01-23,12912688746.09954,129126787.46099539,4,4,100.0,inf,1.0171751997575036,1.717519975750359
next_open,2025-02-23,12914410668.550758,129144006.68550758,4,4,100.0,inf,1.0173108412840457,1.7310841284045697
same_close,2025-01-26,12463682232.62426,124636722.3262426,4,4,100.0,inf,0.9818054716538507,1.819452834614932
same_open,2025-01-17,12935797480.637894,129357874.80637895,4,4,100.0,inf,1.0189955512065612,1.8995551206561156
next_open,2025-02-08,12942584052.029137,129425740.52029136,4,4,100.0,inf,1.0195301518808506,1.953015188085061
next_open,2025-02-09,12943254846.87386,129432448.46873859,4,4,100.0,inf,1.019582992609346,1.958299260934604
same_close,2025-01-31,12444119064.54443,124441090.6454443,4,4,100.0,inf,0.9802644162012826,1.9735583798717427
next_open,2025-01-14,12949426159.445316,129494161.59445317,4,4,100.0,inf,1.0200691273115035,2.0069127311503454
