mode,pre_days,post_days,final,return_pct,trades,wins,win_pct,profit_factor,log_final_error,claim_ratio
same_open,680,520,12697492580.633186,126974825.80633187,4,4,100.0,inf,0.00022346109795508913,1.000223486067246
next_open,820,370,12690310618.289988,126903006.18289989,4,4,100.0,inf,0.00034231944465498693,0.999657739139961
next_open,800,470,12707584415.410675,127075744.15410675,4,4,100.0,inf,0.0010179349985759306,1.0010184532702473
next_open,820,430,12676320799.563034,126763107.99563034,4,4,100.0,inf,0.0014453291359990967,0.9985557148491286
same_open,670,590,12671760611.02987,126717506.11029868,4,4,100.0,inf,0.001805134559415207,0.9981964937160741
next_open,670,570,12661890376.006052,126618803.76006053,4,4,100.0,inf,0.002584353909068891,0.9974189826585853
same_open,690,520,12731858833.336395,127318488.33336395,4,4,100.0,inf,0.0029263435321823157,1.002930629455091
same_open,690,570,12653386524.466383,126533765.24466383,4,4,100.0,inf,0.003256189488269738,0.9967491061472984
same_open,680,540,12740868903.514107,127408589.03514107,4,4,100.0,inf,0.0036337723279165094,1.0036403824827562
same_close,720,540,12646415688.567638,126464056.88567638,4,4,100.0,inf,0.0038072480314510783,0.9961999903483193
same_open,680,570,12619232086.803864,126192220.86803864,4,4,100.0,inf,0.005959071922497005,0.9940586481307623
same_open,690,540,12775352555.905796,127753425.55905797,4,4,100.0,inf,0.006336654762143643,1.0063567738323487
next_open,810,500,12587088827.315155,125870788.27315155,4,4,100.0,inf,0.008509485925516957,0.9915266172707169
same_close,690,530,12804434294.71534,128044242.9471534,4,4,100.0,inf,0.008610461929438602,1.0086476385828702
same_close,600,560,12580849143.561087,125808391.43561088,4,4,100.0,inf,0.009005329795533652,0.9910350967443753
next_open,690,530,12815025547.215626,128150155.47215627,4,4,100.0,inf,0.009437275076085473,1.0094819465716625
same_close,800,470,12849767913.120995,128497579.13120994,4,4,100.0,inf,0.012144671664399531,1.0122187176403925
same_open,790,410,12536124026.514149,125361140.2651415,4,4,100.0,inf,0.012566679645739954,0.987511951351427
same_close,790,490,12866570698.756584,128665606.98756585,4,4,100.0,inf,0.013451450850995403,1.0135423286381815
next_open,820,410,12884411587.045439,128844015.8704544,4,4,100.0,inf,0.014837098275657882,1.014947714415373
same_close,750,550,12495329132.006227,124953191.32006226,4,4,100.0,inf,0.015826173241070732,0.9842984025866343
same_close,670,590,12897970213.557617,128979602.13557617,4,4,100.0,inf,0.015888872922930744,1.016015772269329
next_open,790,490,12900341165.163445,129003311.65163445,4,4,100.0,inf,0.016072679651805043,1.0162025399689687
same_close,700,560,12906563409.829935,129065534.09829935,4,4,100.0,inf,0.016554895158820332,1.016692686760704
next_open,710,520,12481620420.981068,124816104.20981067,4,4,100.0,inf,0.016923882340624412,0.9832185220792033
next_open,790,360,12480251383.609352,124802413.83609353,4,4,100.0,inf,0.017033572622170975,0.9831106784775003
same_close,670,570,12466028214.463505,124660182.14463505,4,4,100.0,inf,0.018173876580612747,0.981990272402392
same_open,790,460,12931594090.280294,129315840.90280296,4,4,100.0,inf,0.01849239308455079,1.0186644362458648
same_close,790,360,12459791836.684101,124597818.36684102,4,4,100.0,inf,0.018674271584406883,0.9814990122986089
same_close,820,450,12458247263.014757,124582372.63014756,4,4,100.0,inf,0.01879824391346077,0.9813773411221756
next_open,700,560,12939148907.636675,129391389.07636674,4,4,100.0,inf,0.019076436424298546,1.019259554195713
next_open,690,520,12939162529.309898,129391525.29309897,4,4,100.0,inf,0.019077489172524126,1.019260627219965
same_close,810,500,12951035072.633625,129510250.72633624,4,4,100.0,inf,0.01999463506213733,1.0201958667246411
next_open,600,560,12955499926.117035,129554899.26117034,4,4,100.0,inf,0.0203393244254839,1.0205475780005169
same_open,700,560,12422354552.377472,124223445.52377471,4,4,100.0,inf,0.021683442254102042,0.9785499535942801
same_close,700,520,12421043765.46459,124210337.6546459,4,4,100.0,inf,0.021788966216430245,0.978446698573876
same_close,690,520,12987753307.880358,129877433.07880358,4,4,100.0,inf,0.022825781932531312,1.0230882835563502
same_close,730,550,12404088636.645975,124040786.36645976,4,4,100.0,inf,0.023154931253821058,0.9771110869997026
next_open,720,540,12399333556.597885,123993235.56597885,4,4,100.0,inf,0.0235383525470037,0.9767365136174363
same_close,790,420,13023614689.404243,130236046.89404243,4,4,100.0,inf,0.025583145885781863,1.0259132031863658
next_open,710,530,12361873050.376749,123618630.50376749,4,4,100.0,inf,0.026564096437062607,0.9737856256460979
same_open,700,530,12351681861.314934,123516718.61314934,4,4,100.0,inf,0.02738884137366976,0.9729828319775174
next_open,600,520,12333843504.17465,123338335.0417465,4,4,100.0,inf,0.02883408995405448,0.9715776455872706
same_open,820,450,12331774636.404564,123317646.36404563,4,4,100.0,inf,0.02900184312068075,0.9714146740304795
next_open,790,420,13068320794.421041,130683107.94421041,4,4,100.0,inf,0.029009963248061585,1.02943485093882
