axis,value,score,start,end,days,total_return_pct,cagr_pct,max_dd_pct,sharpe,exposure_pct,closed_trades,winning_trades,profit_factor,closed_trade_only_dd_pct,return_based_pf
ma_kind,WMA,9.812223924249755,2011-08-18,2025-07-31,5096,4977022.404883467,117.091921486261,-66.56517524520032,1.7444710516214497,43.182264076907984,189,77,1.900133750292258,-43.70024628631101,5.502834648142921
ma_kind,EMA,11.784683363625057,2011-08-18,2025-07-31,5096,6491177.796119041,121.26422815152695,-65.88631480609993,1.7877871790230941,42.84873454973514,187,72,2.059013907554508,-38.007811785848276,5.884564615213078
level,24,20.053827226063582,2011-08-18,2025-07-31,5096,1230640.8136664452,96.40476333752773,-70.90603317803203,1.5740355846788334,38.767902687855596,193,77,1.5398875973323982,-54.14889859485197,4.643340379582516
ma_n,42,22.55467890660082,2011-08-18,2025-07-31,5096,8572681.11551108,125.71926398258336,-67.15299357585727,1.827980538013305,42.672160094173044,198,90,1.8694411808912665,-49.479444723875034,6.340871820019185
ma_n,41,24.922770988094985,2011-08-18,2025-07-31,5096,7455123.42295903,123.47086057751224,-67.15299357585728,1.8075229407556157,42.6525407102217,199,90,1.8763575753828372,-51.18585496535384,6.155461090075864
di_n,10,25.89815111571627,2011-08-18,2025-07-31,5096,2648288.01118373,107.49405765701714,-70.90603317803203,1.6694565941753647,39.98430449283892,196,77,1.7073678367946887,-48.92352476360832,5.322612725177714
di_n,11,29.89140283956264,2011-08-18,2025-07-31,5096,1581606.1632711294,99.96840517448655,-70.86399454641199,1.6141062756275777,38.25779870512066,177,74,1.6785687417471633,-47.08230171583225,5.3822288019822215
ma_n,45,31.940951807327455,2011-08-18,2025-07-31,5096,6877759.864971432,122.18351937978143,-64.62008733624455,1.7930703500767526,42.80949578183245,201,85,1.9122095936254877,-46.81808624294265,5.800983018841297
ma_n,44,33.81889753224807,2011-08-18,2025-07-31,5096,7418153.535998409,123.39125162145321,-64.62008733624455,1.803982636516207,42.90759270158917,203,90,1.7745074080656573,-52.298403764460524,5.838690100425839
level,23,34.5741506242909,2011-08-18,2025-07-31,5096,1792497.9464740055,101.77032119582367,-70.90603317803202,1.6194479752974515,39.807730037276826,200,78,1.543260635697442,-53.672393514883886,4.763137346119434
ma_n,43,37.82673918516488,2011-08-18,2025-07-31,5096,6964453.305959269,122.38307722122114,-64.62008733624454,1.7945357481735225,42.94683146949186,205,91,1.7699906773715124,-52.29840376446055,5.73859141107526
ma_n,40,39.89596360857557,2011-08-18,2025-07-31,5096,6189240.633969365,120.51016063853078,-72.58248373476324,1.7797649897405057,42.6525407102217,205,87,1.861505337785421,-50.08319251672852,5.603869568039431
ma_n,39,40.406404884144514,2011-08-18,2025-07-31,5096,6050710.090495163,120.15269397069525,-72.58248373476324,1.777314540561666,42.51520502256229,205,86,1.8234824707138073,-51.769210238541554,5.583988564300891
level,22,43.41095002385565,2011-08-18,2025-07-31,5096,2716262.6362481904,107.87128446362067,-70.90603317803203,1.6740472953182213,40.886796154600745,206,86,1.6200835922533126,-52.74262435359791,4.911039470892459
ma_n,38,47.94576221300493,2011-08-18,2025-07-31,5096,5095219.066931011,117.45741634523709,-74.1903411919154,1.7528696090368712,42.41710810280557,209,89,1.784057468281751,-51.21959784902024,5.459592555345552
adx_n,12,49.77507110475944,2011-08-18,2025-07-31,5096,3436285.166059548,111.40402918497449,-70.90603317803203,1.7029637952251724,41.27918383362763,209,86,1.7161251725083178,-51.7593563275929,5.056631839094061
adx_n,13,50.858164506035926,2011-08-18,2025-07-31,5096,4034431.3464512248,113.84948041770117,-70.90603317803205,1.7238270337760584,41.691190896605846,210,88,1.6764324622445275,-52.238090680455976,5.071298907843418
ma_kind,LineReg,51.42795817408647,2011-08-18,2025-07-31,5096,3673921.930991672,112.41961629257969,-69.32097193102805,1.7218148970467237,41.259564449676276,210,87,1.7613399651423325,-46.05283888847573,5.218567560427866
ma_n,36,56.13378330753364,2011-08-18,2025-07-31,5096,4297236.943121923,114.81889354102681,-70.90603317803202,1.730570501790244,42.18167549538944,212,86,1.6986279385375327,-52.67582663781647,5.192526745537205
ma_n,37,57.782876649925996,2011-08-18,2025-07-31,5096,3991873.43209643,113.68700674843879,-74.1903411919154,1.7203338632456793,42.35824995095154,214,92,1.6710183077005627,-50.137353189340296,5.225476567864005
di_n,9,61.356625736040144,2011-08-18,2025-07-31,5096,4078859.7204377926,114.01740626166537,-70.90603317803202,1.7234138482848413,42.14243672748676,215,89,1.6902337206380151,-52.67582663781647,5.083749394392591
level,21,61.356625736040144,2011-08-18,2025-07-31,5096,4078859.7204377926,114.01740626166537,-70.90603317803202,1.7234138482848413,42.14243672748676,215,89,1.6902337206380151,-52.67582663781647,5.083749394392591
adx_n,14,61.356625736040144,2011-08-18,2025-07-31,5096,4078859.7204377926,114.01740626166537,-70.90603317803202,1.7234138482848413,42.14243672748676,215,89,1.6902337206380151,-52.67582663781647,5.083749394392591
ma_n,35,61.356625736040144,2011-08-18,2025-07-31,5096,4078859.7204377926,114.01740626166537,-70.90603317803202,1.7234138482848413,42.14243672748676,215,89,1.6902337206380151,-52.67582663781647,5.083749394392591
ma_kind,SMA,61.68520226085949,2011-08-18,2025-07-31,5096,7189347.297771425,122.89020047726393,-65.88523121872478,1.8346704213216056,39.21914851873651,160,68,2.319978437566553,-39.97330631216066,7.155791916799138
adx_n,16,66.83598546452721,2011-08-18,2025-07-31,5096,4848605.819941837,116.68557598434393,-70.90603317803203,1.7431099807843267,43.12340592505395,218,91,1.718078074448097,-52.616762829388705,5.148967565715859
ma_n,33,67.2723600076562,2011-08-18,2025-07-31,5096,4510639.536974076,115.56639575733927,-69.62477372560167,1.7403891795391315,42.14243672748676,219,95,1.6001999580658945,-52.86545269691387,5.174980718486349
ma_n,34,67.3785089747726,2011-08-18,2025-07-31,5096,4056365.9955518343,113.93260015596245,-69.62477372560167,1.724943836633373,42.22091426329213,219,95,1.5805249342383532,-53.27883848113451,5.106132036170762
adx_n,15,70.88109558257744,2011-08-18,2025-07-31,5096,4299573.793799727,114.82726394316667,-70.90603317803202,1.7296090253729228,42.6525407102217,220,92,1.68872195793079,-52.6167628293887,5.101511243493316
level,19,74.27377751233297,2011-08-18,2025-07-31,5096,5015463.779158797,117.2116683352971,-70.90603317803203,1.7432207114332674,44.10437512262115,221,89,1.7749817438279538,-51.38308644421684,5.086126169364723
ma_n,32,76.90045505863978,2011-08-18,2025-07-31,5096,2888965.0238061296,108.79165587232933,-72.42897009060955,1.694897510784093,42.10319795958407,224,99,1.6323985925092446,-52.055597708833986,4.917546820819155
level,20,77.75817596487951,2011-08-18,2025-07-31,5096,4915755.049936309,116.89928415536453,-70.90603317803203,1.7439101280831195,43.378457916421425,223,91,1.7586389015594495,-52.47708401214617,5.152588387390164
ma_n,31,81.36151347791436,2011-08-18,2025-07-31,5096,2693809.1282204343,107.74765703907696,-72.42897009060955,1.686124257367486,42.063959191681384,226,99,1.6227405613444663,-52.05559770883402,4.8437760076507175
di_n,8,87.83653302674314,2011-08-18,2025-07-31,5096,7173490.805551062,122.85493096308167,-70.90603317803203,1.795832066006999,43.986658818913085,228,92,1.9906824788139486,-50.021852459211026,5.270109883643497
level,18,89.5773214073344,2011-08-18,2025-07-31,5096,4689782.046028739,116.16896311093186,-70.90603317803203,1.7307114293369703,44.59485972140475,228,89,1.8192848351741517,-49.75306280268833,4.95098969997166
ma_n,30,96.52826179072248,2011-08-18,2025-07-31,5096,4803996.20982578,116.54207788048691,-73.91780570571665,1.7818780856637113,41.75004904845988,233,98,1.680004957238674,-51.46413277727887,4.882005872529021
ma_n,29,100.58193355573124,2011-08-18,2025-07-31,5096,4255447.510964692,114.66848946680055,-73.91780570571662,1.7638737225871735,41.632332744751814,235,99,1.6612343856944374,-51.46413277727879,4.761722627247417
ma_n,27,111.30234766138396,2011-08-18,2025-07-31,5096,3283046.39914149,110.71396367807318,-71.50525022474505,1.7259894045167083,41.318422601530315,240,100,1.571839974242817,-51.97652260130698,4.558924985852423
ma_n,28,113.51964625591648,2011-08-18,2025-07-31,5096,3140438.773591436,110.04436574119887,-71.50525022474504,1.7185449187473236,41.494997057092405,241,100,1.5590648743422093,-51.97652260130696,4.556604315169654
di_n,7,121.41817769773509,2011-08-18,2025-07-31,5096,15481293.150880083,135.48654059836974,-55.08833256439114,1.967038951316014,44.67333725721012,245,98,1.9938017626686684,-49.66401203404459,5.303875166502907
ma_n,25,125.12332772228957,2011-08-18,2025-07-31,5096,3310370.957170493,110.83917283503042,-71.50525022474508,1.7374087650376202,40.76907985089268,246,98,1.619238661504342,-43.45932113367487,4.534083131438814
ma_n,26,127.67285426572666,2011-08-18,2025-07-31,5096,3365839.871827941,111.09042420309719,-71.50525022474504,1.73663732269881,41.06337061016284,247,97,1.6197817819575686,-43.448905212590674,4.57122549576902
